num_thread,execution-time,speedup
1,0.988879,10.301664814400953
2,1.3216,7.7081567796610155
3,1.31683,7.736078309273027
4,1.44417,7.053947942416751
5,1.46653,6.94639727792817
6,1.57343,6.4744539000781725
7,1.71011,5.956985223172778
8,1.93087,5.275911894638168
9,1.68682,6.039233587460428
10,1.74103,5.851191536044754
11,1.601,6.362960649594004
12,1.76911,5.758319154829264
13,1.73054,5.886659655367688
14,1.75888,5.791810697716729
15,1.77483,5.739760991193522
16,2.73356,3.7266787632245126
17,1.8436,5.5256563245823385
18,1.87987,5.419044933958199
19,2.02832,5.022432357813362
20,2.09598,4.860304010534452
21,2.08516,4.885524372230428
22,1.99445,5.107723933916618
23,2.17113,4.6920727915877904
24,2.09511,4.862322264702091
25,2.07165,4.917384693360365
26,2.13093,4.780588757021581
27,2.11291,4.821360114723296
28,2.21047,4.608567408741127
29,2.19302,4.6452380735241805
30,2.11052,4.826819930633208
31,2.15993,4.71640284638854
32,2.13347,4.774897233146001
