num_thread,execution-time,iterations
1,50.7337,1000
2,25.3819,1000
3,18.5160,1000
4,14.7788,1000
5,13.4014,1000
6,12.6174,1000
7,12.6449,1000
8,11.0922,1000
9,10.8179,1000
10,10.6194,1000
11,10.2038,1000
12,9.9047,1000
13,10.4854,1000
14,10.1769,1000
15,10.1022,1000
16,10.0973,1000
17,10.6811,1000
18,10.8017,1000
19,10.6081,1000
20,10.9165,1000
21,11.0992,1000
22,10.4468,1000
23,10.4976,1000
24,10.5622,1000
25,10.4697,1000
26,10.4152,1000
27,10.6111,1000
28,10.5713,1000
29,11.0737,1000
30,11.3513,1000
31,11.1277,1000
32,10.6437,1000
