num_thread,execution-time,iterations
1,51.4865,1000
2,25.7545,1000
3,18.4409,1000
4,14.3743,1000
5,12.7916,1000
6,11.3987,1000
7,11.5978,1000
8,10.4692,1000
9,10.2356,1000
10,9.9256,1000
11,10.8330,1000
12,9.3351,1000
13,9.2978,1000
14,9.1733,1000
15,9.0370,1000
16,9.8792,1000
17,10.4520,1000
18,10.3328,1000
19,10.0772,1000
20,9.9701,1000
21,10.5358,1000
22,10.0877,1000
23,10.1041,1000
24,9.4680,1000
25,9.9594,1000
26,9.5209,1000
27,9.4619,1000
28,10.0147,1000
29,9.6699,1000
30,10.1638,1000
31,9.5106,1000
32,11.0748,1000
