num_thread,execution-time,iterations,speedup
1,103.3215,1841,1.0
2,51.269,1841,2.015282139304453
3,37.5127,1841,2.7543072079589046
4,29.0289,1841,3.559263354794705
5,26.0903,1841,3.96014994078259
6,23.2862,1841,4.437027080416727
7,22.9181,1841,4.508292572246391
8,20.7918,1841,4.969338873979165
9,20.4228,1841,5.059125095481521
10,18.5766,1841,5.561916604760828
11,18.1139,1841,5.70398975372504
12,17.6279,1841,5.861248361971647
13,17.6198,1841,5.863942837035607
14,17.2634,1841,5.985002954226861
15,18.3677,1841,5.625173538330874
16,16.7946,1841,6.152066735736487
17,18.0193,1841,5.733935280504792
18,18.2702,1841,5.655192608728969
19,18.4284,1841,5.60664517809468
20,18.0468,1841,5.725197819003923
21,18.5246,1841,5.577529339364952
22,17.9112,1841,5.768541471258207
23,18.1861,1841,5.681344543360039
24,17.5946,1841,5.872341513873575
25,18.0452,1841,5.725705450756988
26,17.4582,1841,5.918221809808571
27,17.7026,1841,5.836515540090156
28,18.3795,1841,5.62156206643271
29,17.4802,1841,5.910773332112905
30,18.3471,1841,5.631489445198423
31,18.2702,1841,5.655192608728969
32,18.02,1841,5.733712541620422
